symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
BTCUSDT,-441.07000000,-1.774,24678.21930653,24856.38000000,24415.31000000,0.00816000,24414.41000000,0.00200000,24415.31000000,0.06184000,24856.38000000,25250.00000000,24148.34000000,377233.78533000,9309458084.20448560,1676939548802,1677025948802,2756612683,2767346217,10733535
ETHUSDT,-41.22000000,-2.421,1679.28948548,1702.78000000,1661.56000000,0.44940000,1661.55000000,76.11860000,1661.56000000,3.07220000,1702.78000000,1716.66000000,1636.30000000,525179.66200000,881928684.38716000,1676939549024,1677025949024,1083015056,1083859452,844397
BNBUSDT,-5.00000000,-1.581,313.48636658,316.30000000,311.30000000,0.33500000,311.30000000,159.84000000,311.40000000,97.27900000,316.30000000,317.40000000,309.30000000,380126.58100000,119164500.71800000,1676939548447,1677025948447,626467008,626765451,298444
BCCUSDT,0.00000000,0.000,0.00000000,448.70000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670821099195,1670907499195,-1,-1,0
NEOUSDT,-1.64000000,-11.051,14.47740351,14.85000000,13.20000000,462.05000000,13.19000000,506.07000000,13.20000000,46.63000000,14.84000000,15.80000000,13.12000000,4038485.60000000,58466785.61360000,1676939549644,1677025949644,88118763,88314520,195758
LTCUSDT,-2.36000000,-2.454,94.07932562,96.18000000,93.80000000,1.33000000,93.79000000,46.31500000,93.80000000,32.69400000,96.16000000,96.81000000,91.42000000,742501.43000000,69854033.80515000,1676939549887,1677025949887,274667632,274815903,148272
QTUMUSDT,-0.10000000,-2.687,3.86417195,3.72200000,3.62200000,39.70000000,3.61900000,48.70000000,3.62200000,122.60000000,3.72200000,4.33100000,3.52100000,5309158.80000000,20515502.52750000,1676939550190,1677025950190,66809314,66903037,93724
ADAUSDT,-0.01070000,-2.657,0.39543475,0.40280000,0.39200000,10444.60000000,0.39200000,54137.30000000,0.39210000,20674.60000000,0.40270000,0.40590000,0.38550000,117968803.30000000,46648964.60068000,1676939550328,1677025950328,426441420,426551028,109609
XRPUSDT,-0.00630000,-1.583,0.39332428,0.39810000,0.39180000,621.00000000,0.39180000,88474.00000000,0.39190000,222368.00000000,0.39810000,0.40250000,0.38720000,440233959.00000000,173154703.38790000,1676939550489,1677025950489,503742648,503911237,168590
EOSUSDT,-0.04500000,-3.557,1.24082886,1.26600000,1.22000000,203.50000000,1.21900000,19696.00000000,1.22000000,1783.70000000,1.26500000,1.29800000,1.19600000,16902184.70000000,20972718.55730000,1676939548779,1677025948779,218852107,218905523,53417
TUSDUSDT,0.00000000,0.000,0.00000000,0.99990000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670821575024,1670907975024,-1,-1,0
IOTAUSDT,-0.00880000,-3.305,0.25902614,0.26610000,0.25750000,625.00000000,0.25750000,949.00000000,0.25760000,8892.00000000,0.26630000,0.26740000,0.25050000,15464537.00000000,4005719.26360000,1676939550649,1677025950649,69206595,69231338,24744
XLMUSDT,-0.00020000,-0.211,0.09561027,0.09490000,0.09470000,2441.00000000,0.09470000,194140.00000000,0.09480000,164092.00000000,0.09490000,0.09810000,0.09340000,132653677.00000000,12683053.46030000,1676939549376,1677025949376,135135258,135173353,38096
ONTUSDT,-0.01640000,-5.685,0.28479104,0.28840000,0.27210000,6691.00000000,0.27210000,8218.00000000,0.27220000,379.00000000,0.28850000,0.30360000,0.26730000,36399304.00000000,10366195.63670000,1676939547980,1677025947980,86126685,86178572,51888
TRXUSDT,-0.00248000,-3.450,0.07093757,0.07190000,0.06941000,2169.70000000,0.06940000,246263.00000000,0.06941000,1486.80000000,0.07189000,0.07216000,0.06895000,541428413.00000000,38407615.88120600,1676939550068,1677025950068,233310922,233427696,116775
ETCUSDT,-0.65000000,-2.780,23.38162076,23.38000000,22.73000000,731.52000000,22.73000000,1212.55000000,22.74000000,382.32000000,23.38000000,24.25000000,22.40000000,2544457.35000000,59493536.80890000,1676939551827,1677025951827,175166539,175286228,119690
ICXUSDT,-0.00680000,-2.609,0.25942188,0.26050000,0.25380000,102.70000000,0.25370000,900.10000000,0.25390000,15420.70000000,0.26060000,0.27990000,0.24690000,19612597.10000000,5087936.72636000,1676939549613,1677025949613,42133744,42165083,31340
VENUSDT,0.00000000,0.000,0.00000000,0.00010000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820737974,1670907137974,-1,-1,0
NULSUSDT,-0.01750000,-5.244,0.34199572,0.33370000,0.31620000,103.00000000,0.31580000,316.00000000,0.31620000,11846.00000000,0.33370000,0.39200000,0.31000000,20871495.00000000,7137962.05200000,1676939537493,1677025937493,22773716,22804544,30829
VETUSDT,-0.00137000,-4.364,0.03079474,0.03140000,0.03002000,127585.30000000,0.03001000,146194.00000000,0.03002000,120759.30000000,0.03139000,0.03208000,0.02935000,888398751.60000000,27358010.59712000,1676939553107,1677025953107,190950255,191074169,123915
PAXUSDT,0.00000000,0.000,0.00000000,0.99960000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670822017734,1670908417734,-1,-1,0
BCHABCUSDT,0.00000000,0.000,0.00000000,220.08000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670822590387,1670908990387,-1,-1,0
BCHSVUSDT,0.00000000,0.000,0.00000000,58.90000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670822023488,1670908423488,-1,-1,0
USDCUSDT,0.00000000,0.000,0.00000000,0.99990000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820547564,1670906947564,-1,-1,0
LINKUSDT,-0.38200000,-4.768,7.77128216,8.01100000,7.62900000,43.58000000,7.62700000,20.68000000,7.62800000,152.07000000,8.01100000,8.07700000,7.50500000,5843669.33000000,45412803.23033000,1676939554314,1677025954314,247602220,247723702,121483
WAVESUSDT,-0.19300000,-6.490,2.88597249,2.97300000,2.78100000,92.80000000,2.78000000,3818.44000000,2.78100000,516.47000000,2.97400000,3.04500000,2.72200000,8256020.23000000,23826647.28675000,1676939554579,1677025954579,84252123,84337204,85082
BTTUSDT,0.00000000,0.000,0.00000000,0.00277700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670821099198,1670907499198,-1,-1,0
USDSUSDT,0.00000000,0.000,0.00000000,0.99680000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670822590390,1670908990390,-1,-1,0
ONGUSDT,-0.01290000,-3.535,0.36062599,0.36490000,0.35200000,70.00000000,0.35260000,699.00000000,0.35310000,70.00000000,0.36490000,0.38480000,0.33950000,4746986.00000000,1711886.53780000,1676939555045,1677025955045,17321430,17331635,10206
HOTUSDT,-0.00008700,-3.720,0.00227910,0.00233600,0.00225200,154756.00000000,0.00225200,101771.00000000,0.00225300,564151.00000000,0.00233900,0.00237500,0.00220000,2457347143.00000000,5600529.70083900,1676939553778,1677025953778,99780203,99809333,29131
ZILUSDT,0.00080000,2.361,0.03453451,0.03387000,0.03468000,17898.30000000,0.03468000,32732.10000000,0.03469000,16482.90000000,0.03388000,0.03680000,0.03213000,992045293.90000000,34259797.91812900,1676939554472,1677025954472,96033131,96155828,122698
ZRXUSDT,-0.00860000,-3.127,0.26936095,0.27500000,0.26640000,179.00000000,0.26620000,1163.00000000,0.26640000,1962.00000000,0.27500000,0.27680000,0.26080000,8844772.00000000,2382436.16930000,1676939555196,1677025955196,32432098,32447443,15346
FETUSDT,0.00750000,1.781,0.45932396,0.42100000,0.42860000,244.00000000,0.42850000,428.00000000,0.42860000,173.00000000,0.42110000,0.50160000,0.40480000,261931262.00000000,120311305.32690000,1676939555507,1677025955507,48005563,48376636,371074
BATUSDT,-0.00160000,-0.504,0.31054266,0.31730000,0.31580000,212.00000000,0.31580000,5786.00000000,0.31600000,717.00000000,0.31740000,0.31960000,0.30080000,12645949.00000000,3927106.60830000,1676939555943,1677025955943,65478966,65503145,24180
XMRUSDT,-2.00000000,-1.238,160.78866137,161.50000000,159.50000000,0.37900000,159.40000000,14.58800000,159.50000000,45.15700000,161.50000000,163.30000000,156.30000000,70277.21400000,11299779.16390000,1676939556539,1677025956539,62001685,62037250,35566
ZECUSDT,-0.50000000,-0.998,48.91795748,50.10000000,49.60000000,0.20700000,49.50000000,7.63600000,49.60000000,1439.06400000,50.10000000,50.60000000,47.20000000,270085.27200000,13212019.85150000,1676939556149,1677025956149,85171359,85203935,32577
IOSTUSDT,-0.00162000,-11.433,0.01380020,0.01416000,0.01255000,37401.00000000,0.01255000,316889.00000000,0.01256000,682876.00000000,0.01417000,0.01488000,0.01245000,1389038147.00000000,19169010.03161000,1676939556470,1677025956470,70685376,70773377,88002
CELRUSDT,0.00045000,1.927,0.02349504,0.02336000,0.02380000,496.60000000,0.02377000,22631.90000000,0.02380000,20136.60000000,0.02335000,0.02450000,0.02236000,372059999.80000000,8741564.88324400,1676939556606,1677025956606,56035708,56078113,42406
DASHUSDT,-1.23000000,-1.703,71.04002877,72.22000000,70.99000000,12.86900000,70.96000000,4.71300000,71.00000000,10.44400000,72.22000000,73.00000000,68.60000000,124636.25300000,8854162.99877000,1676939556279,1677025956279,68910649,68946057,35409
NANOUSDT,0.00000000,0.000,0.00000000,2.22400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670821099182,1670907499182,-1,-1,0
OMGUSDT,-0.08500000,-4.446,1.87394068,1.91200000,1.82700000,20.00000000,1.82700000,90.10000000,1.82800000,1256.40000000,1.91200000,1.96800000,1.79200000,2597463.10000000,4867491.77060000,1676939557009,1677025957009,113490974,113518444,27471
THETAUSDT,-0.04600000,-3.588,1.25014540,1.28200000,1.23600000,20.30000000,1.23500000,662.80000000,1.23600000,8804.60000000,1.28200000,1.30200000,1.20100000,7878675.00000000,9849489.31000000,1676939557709,1677025957709,148373975,148421571,47597
ENJUSDT,-0.01690000,-3.247,0.50691240,0.52050000,0.50360000,496.30000000,0.50340000,457.30000000,0.50360000,896.30000000,0.52050000,0.52570000,0.48630000,13026219.30000000,6603152.07565000,1676939557546,1677025957546,83747806,83784142,36337
MITHUSDT,-0.00120000,-25.806,0.00388720,0.00468000,0.00345000,38421.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00465000,0.00472000,0.00320000,441058066.50000000,1714479.89420200,1671613214632,1671699614632,35295322,35313487,18166
MATICUSDT,-0.08760000,-5.950,1.42240633,1.47220000,1.38470000,122.70000000,1.38460000,919.10000000,1.38470000,6436.00000000,1.47230000,1.50240000,1.36210000,114723371.80000000,163183249.88879000,1676939558985,1677025958985,318550576,318879669,329094
